name,ticker,market,sector
Aenza SAA,AENZAC1,BVL,Industrial services
Andino Investment Holding SAC,AIHC1,BVL,Transportation
Alicorp SAA,ALICORC1,BVL,Consumer non-durables
Empresa Agraria Azucarera Andahuasi SAA,ANDAHUC1,BVL,Process industries
Austral Group SAA,AUSTRAC1,BVL,Consumer non-durables
Union De Cervecerias Peruanas Backus & Johnston SAA Class A,BACKUAC1,BVL,Consumer non-durables
Banco BBVA Peru SA,BBVAC1,BVL,Finance
Sociedad Minera el Brocal SA,BROCALC1,BVL,Non-energy minerals
Compania de Minas Buenaventura SAA,BUENAVC1,BVL,Non-energy minerals
Cartavio SAA,CARTAVC1,BVL,Process industries
Casa Grande SAA,CASAGRC1,BVL,Process industries
Cavali SA ICLV,CAVALIC1,BVL,Finance
Corporacion Aceros Arequipa SA,CORAREC1,BVL,Non-energy minerals
Credicorp Capital Peru SAA,CRECAPC1,BVL,Finance
Banco de Credito del Peru SA,CREDITC1,BVL,Finance
Sociedad Minera Cerro Verde SAA,CVERDEC1,BVL,Non-energy minerals
Empresa Editora El Comercio SA,ELCOMEI1,BVL,Consumer services
ENGIE Energia Peru SA,ENGIEC1,BVL,Utilities
Energia del Pacifico SA,ENPACIC1,BVL,Utilities
Pesquera Exalmar SAA,EXALMC1,BVL,Consumer non-durables
Ferreycorp SAA,FERREYC1,BVL,Distribution services
Coril Renta Prime Soles - Fondo de Inversion,FICORPS,BVL,Miscellaneous
Coril Renta Prime Soles 11 - Fondo de Inversion,FICRPS11,BVL,Miscellaneous
Coril Renta Prime Soles 16 - Fondo de Inversion,FICRPS16,BVL,Miscellaneous
Fossal SAA,FOSSALC1,BVL,Non-energy minerals
Leche Gloria SA,GLORIAI1,BVL,Consumer non-durables
Hermes Transportes Blindados SA,HERMESC1,BVL,Commercial services
Empresa Regional de Servicio Publico de Electricidad Electronorte Medio SA,HIDRA2C1,BVL,Utilities
InRetail Peru Corp.,INRETC1,BVL,Retail trade
Banco Internacional del Peru SAA Interbank,INTERBC1,BVL,Finance
Inversiones Centenario SAA,INVCENC1,BVL,Finance
Inversiones Portuarias Chancay SAA Class A,IPCHAC1,BVL,Finance
Agroindustrial Laredo SAA,LAREDOC1,BVL,Process industries
Compania Minera Santa Luisa SA,LUISAI1,BVL,Non-energy minerals
Luz del Sur SA,LUSURC1,BVL,Utilities
Sociedad Minera Corona SA,MINCORC1,BVL,Non-energy minerals
Minsur SA,MINSURI1,BVL,Non-energy minerals
Nexa Resources Peru SAA,NEXAPEC1,BVL,Non-energy minerals
Orygen Peru SAA,ORYGENC1,BVL,Utilities
Pacifico Compania de Seguros y Reaseguros SA,PACIFIC1,BVL,Finance
Perubar SA,PERUBAI1,BVL,Transportation
Pluz Energia Peru SAA,PLUZENC1,BVL,Utilities
Compania Minera Poderosa SA,PODERC1,BVL,Non-energy minerals
Empresa Agroindustrial Pomalca SA,POMALCC1,BVL,Process industries
Rimac Seguros y Reaseguros,RIMSEGC1,BVL,Finance
Saga Falabella SA,SAGAC1,BVL,Retail trade
Scotiabank Peru SA,SCOTIAC1,BVL,Finance
Shougang Hierro Peru Saa,SHPC1,BVL,Non-energy minerals
Empresa Siderurgica del Peru SAA,SIDERC1,BVL,Non-energy minerals
Cerveceria San Juan SA,SNJUANC1,BVL,Consumer non-durables
Southern Peru Copper Corp.,SPCCPI1,BVL,Non-energy minerals
UNACEM Corp. Sociedad Anonima Abierta,UNACEMC1,BVL,Non-energy minerals
